defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,failure_mode,machine_id
DEF-00030,L00165,Tool Damage,2026-06-01,Tool Holder,Minor,Manual,66.78,TWF,LINE3-M02
DEF-00031,M00166,Tool Damage,2026-06-01,Tool Tip,Minor,X-Ray,132.98,TWF,LINE3-M01
DEF-00032,L00167,Tool Damage,2026-06-01,Tool Holder,Major,Automated,607.48,TWF,LINE1-M02
DEF-00033,L00168,Tool Damage,2026-06-01,Tool Holder,Major,X-Ray,390.76,TWF,LINE2-M02
DEF-00034,M00178,Thermal Defect,2026-06-01,Bearing Assembly,Minor,Ultrasonic,244.74,HDF,LINE2-M01
DEF-00035,M00189,Thermal Defect,2026-06-01,Bearing Assembly,Major,X-Ray,564.75,HDF,LINE2-M01
DEF-00036,L00194,Power Defect,2026-06-01,Power Supply,Major,X-Ray,526.42,PWF,LINE2-M01
DEF-00037,M00201,Power Defect,2026-06-01,Electrical Panel,Critical,Ultrasonic,1070.88,PWF,LINE3-M02
DEF-00038,M00202,Thermal Defect,2026-06-01,Motor Housing,Major,Ultrasonic,276.76,HDF,LINE2-M01
DEF-00039,L00218,Power Defect,2026-06-01,Power Supply,Critical,Manual,2114.21,PWF,LINE2-M01
DEF-00040,L00234,Power Defect,2026-06-01,Drive Motor,Minor,Automated,154.07,PWF,LINE1-M01
DEF-00041,L00247,Power Defect,2026-06-01,VFD Unit,Major,Ultrasonic,619.24,PWF,LINE3-M01
DEF-00042,L00250,Tool Damage,2026-06-01,Cutting Edge,Major,Visual,457.44,TWF,LINE2-M01
DEF-00043,L00251,Tool Damage,2026-06-01,Cutting Edge,Major,Ultrasonic,354.51,TWF,LINE3-M01
DEF-00044,H00252,Power Defect,2026-06-01,VFD Unit,Major,Manual,606.8,PWF,LINE3-M01
DEF-00045,H00254,Tool Damage,2026-06-01,Spindle Interface,Critical,Automated,2024.02,TWF,LINE2-M01
DEF-00046,M00255,Tool Damage,2026-06-01,Tool Tip,Critical,Ultrasonic,1237.46,TWF,LINE2-M01
DEF-00047,L00256,Tool Damage,2026-06-01,Cutting Edge,Critical,X-Ray,1891.08,TWF,LINE1-M02
DEF-00048,L00257,Tool Damage,2026-06-01,Tool Tip,Major,Manual,255.03,TWF,LINE1-M01
DEF-00049,H00260,Power Defect,2026-06-01,Electrical Panel,Minor,Visual,103.46,PWF,LINE1-M01
DEF-00050,L00273,Power Defect,2026-06-02,VFD Unit,Critical,Ultrasonic,1454.9,PWF,LINE1-M01
DEF-00051,H00279,Power Defect,2026-06-02,Power Supply,Critical,X-Ray,993.61,PWF,LINE2-M02
DEF-00052,M00281,Power Defect,2026-06-02,Electrical Panel,Critical,X-Ray,1440.88,PWF,LINE3-M02
DEF-00053,L00288,Power Defect,2026-06-02,Power Supply,Major,X-Ray,690.03,PWF,LINE2-M01
DEF-00054,L00294,Power Defect,2026-06-02,VFD Unit,Critical,Automated,998.81,PWF,LINE3-M02
DEF-00055,H00299,Power Defect,2026-06-02,Drive Motor,Major,X-Ray,522.42,PWF,LINE2-M01
DEF-00056,L00313,Power Defect,2026-06-02,Power Supply,Major,X-Ray,512.24,PWF,LINE2-M02
DEF-00057,L00318,Power Defect,2026-06-02,Drive Motor,Major,Automated,402.33,PWF,LINE1-M01
DEF-00058,L00327,Power Defect,2026-06-02,VFD Unit,Major,X-Ray,523.03,PWF,LINE3-M01
DEF-00059,H00330,Tool Damage,2026-06-02,Cutting Edge,Major,X-Ray,390.31,TWF,LINE2-M02
DEF-00060,L00331,Structural Stress,2026-06-02,Shaft,Critical,X-Ray,1104.23,OSF,LINE1-M01
DEF-00061,L00333,Structural Stress,2026-06-02,Chuck Assembly,Minor,Manual,143.02,OSF,LINE3-M01
DEF-00062,M00334,Tool Damage,2026-06-02,Spindle Interface,Critical,X-Ray,1212.39,TWF,LINE1-M02
DEF-00063,H00336,Tool Damage,2026-06-02,Cutting Edge,Major,Automated,520.62,TWF,LINE2-M01
DEF-00064,H00337,Tool Damage,2026-06-02,Cutting Edge,Minor,X-Ray,66.98,TWF,LINE1-M01
DEF-00065,H00338,Tool Damage,2026-06-02,Spindle Interface,Major,Ultrasonic,410.42,TWF,LINE3-M02
DEF-00066,M00342,Power Defect,2026-06-02,VFD Unit,Major,Manual,276.92,PWF,LINE1-M01
DEF-00067,L00345,Power Defect,2026-06-02,VFD Unit,Minor,Visual,68.4,PWF,LINE3-M02
DEF-00068,L00350,Power Defect,2026-06-02,Drive Motor,Critical,Manual,1259.74,PWF,LINE2-M02
DEF-00069,L00353,Power Defect,2026-06-02,Drive Motor,Major,Manual,447.33,PWF,LINE3-M02
DEF-00070,M00355,Random/Unknown,2026-06-02,Unspecified,Major,Manual,321.77,RNF,LINE1-M01
DEF-00071,M00376,Power Defect,2026-06-02,Power Supply,Critical,Visual,2330.77,PWF,LINE1-M02
DEF-00072,M00377,Power Defect,2026-06-02,Power Supply,Critical,X-Ray,1143.26,PWF,LINE1-M01
DEF-00073,M00382,Power Defect,2026-06-02,VFD Unit,Major,Manual,261.13,PWF,LINE1-M02
DEF-00074,H00408,Tool Damage,2026-06-02,Spindle Interface,Major,Manual,703.11,TWF,LINE1-M02
DEF-00075,L00410,Tool Damage,2026-06-02,Cutting Edge,Minor,Ultrasonic,74.63,TWF,LINE2-M01
DEF-00076,H00411,Tool Damage,2026-06-02,Tool Tip,Major,Visual,479.23,TWF,LINE3-M01
DEF-00077,L00412,Tool Damage,2026-06-02,Spindle Interface,Major,X-Ray,613.92,TWF,LINE2-M02
DEF-00078,L00414,Tool Damage,2026-06-02,Tool Holder,Major,Visual,475.37,TWF,LINE2-M01
DEF-00079,M00415,Tool Damage,2026-06-02,Tool Tip,Critical,Automated,987.73,TWF,LINE2-M01
DEF-00080,L00416,Tool Damage,2026-06-02,Cutting Edge,Critical,Visual,1249.01,TWF,LINE3-M01
DEF-00081,M00417,Tool Damage,2026-06-02,Tool Holder,Major,Automated,275.24,TWF,LINE1-M02
DEF-00082,M00418,Tool Damage,2026-06-02,Tool Tip,Critical,Manual,1480.43,TWF,LINE2-M02
DEF-00083,L00419,Tool Damage,2026-06-02,Cutting Edge,Critical,Ultrasonic,2235.39,TWF,LINE3-M02
DEF-00084,L00420,Tool Damage,2026-06-02,Tool Holder,Critical,Ultrasonic,2295.92,TWF,LINE2-M02
DEF-00085,M00427,Power Defect,2026-06-02,VFD Unit,Major,X-Ray,685.48,PWF,LINE3-M01
DEF-00086,M00428,Thermal Defect,2026-06-02,Bearing Assembly,Critical,Manual,2104.61,HDF,LINE1-M02
DEF-00087,L00434,Power Defect,2026-06-02,VFD Unit,Critical,X-Ray,1820.93,PWF,LINE2-M01
DEF-00088,M00439,Power Defect,2026-06-02,VFD Unit,Major,Automated,281.13,PWF,LINE3-M02
DEF-00089,M00443,Power Defect,2026-06-02,VFD Unit,Critical,X-Ray,2210.97,PWF,LINE1-M01
DEF-00090,H00454,Power Defect,2026-06-02,Drive Motor,Major,Visual,432.44,PWF,LINE1-M01
DEF-00091,M00455,Power Defect,2026-06-02,Electrical Panel,Minor,Ultrasonic,140.23,PWF,LINE1-M02
DEF-00092,M00457,Power Defect,2026-06-02,Electrical Panel,Major,Ultrasonic,404.83,PWF,LINE1-M01
DEF-00093,M00460,Power Defect,2026-06-02,Electrical Panel,Critical,X-Ray,1384.55,PWF,LINE3-M02
DEF-00094,L00474,Power Defect,2026-06-02,VFD Unit,Critical,Visual,2467.0,PWF,LINE1-M01
DEF-00095,H00475,Power Defect,2026-06-02,Drive Motor,Critical,X-Ray,1421.0,PWF,LINE3-M02
DEF-00096,H00477,Power Defect,2026-06-02,VFD Unit,Critical,X-Ray,1117.74,PWF,LINE1-M01
DEF-00097,L00481,Power Defect,2026-06-02,Power Supply,Major,Ultrasonic,514.92,PWF,LINE3-M01
DEF-00098,L00492,Tool Damage,2026-06-02,Tool Holder,Major,X-Ray,338.99,TWF,LINE3-M02
DEF-00099,M00494,Tool Damage,2026-06-02,Tool Tip,Minor,X-Ray,236.14,TWF,LINE2-M01
DEF-00100,H00497,Tool Damage,2026-06-02,Tool Tip,Critical,X-Ray,1938.43,TWF,LINE2-M01
DEF-00101,L00498,Tool Damage,2026-06-02,Spindle Interface,Major,Manual,570.61,TWF,LINE3-M01
DEF-00102,M00499,Tool Damage,2026-06-02,Spindle Interface,Minor,Manual,161.73,TWF,LINE3-M01
DEF-00103,L00500,Tool Damage,2026-06-02,Spindle Interface,Major,Ultrasonic,673.48,TWF,LINE3-M02
DEF-00104,H00505,Power Defect,2026-06-02,Drive Motor,Critical,Ultrasonic,1843.51,PWF,LINE1-M02
DEF-00105,L00508,Power Defect,2026-06-02,Drive Motor,Critical,Automated,1971.66,PWF,LINE3-M02
DEF-00106,M00509,Power Defect,2026-06-02,VFD Unit,Critical,Manual,1257.99,PWF,LINE3-M01
DEF-00107,M00518,Power Defect,2026-06-02,Electrical Panel,Critical,Manual,2007.74,PWF,LINE3-M02
DEF-00108,L00529,Power Defect,2026-06-02,VFD Unit,Critical,Manual,2159.93,PWF,LINE3-M02
DEF-00109,L00534,Power Defect,2026-06-02,Drive Motor,Major,Visual,699.49,PWF,LINE1-M02
DEF-00110,M00540,Power Defect,2026-06-02,Power Supply,Major,X-Ray,282.88,PWF,LINE1-M02
DEF-00111,L00544,Thermal Defect,2026-06-02,Bearing Assembly,Critical,Automated,1571.93,HDF,LINE2-M01
DEF-00112,M00553,Power Defect,2026-06-02,Power Supply,Critical,X-Ray,1373.77,PWF,LINE2-M02
DEF-00113,L00561,Thermal Defect,2026-06-02,Bearing Assembly,Major,Ultrasonic,441.36,HDF,LINE3-M02
DEF-00114,L00567,Structural Stress,2026-06-02,Chuck Assembly,Critical,Manual,1503.09,OSF,LINE1-M01
DEF-00115,L00569,Thermal Defect,2026-06-02,Heat Exchanger,Major,Visual,719.02,HDF,LINE3-M01
DEF-00116,L00571,Tool Damage,2026-06-02,Tool Holder,Critical,Visual,1621.14,TWF,LINE2-M01
DEF-00117,M00572,Tool Damage,2026-06-02,Cutting Edge,Major,Visual,279.2,TWF,LINE3-M01
DEF-00118,L00573,Tool Damage,2026-06-02,Tool Tip,Critical,X-Ray,1192.99,TWF,LINE3-M02
DEF-00119,L00574,Tool Damage,2026-06-02,Cutting Edge,Major,Visual,759.49,TWF,LINE2-M02
DEF-00120,M00575,Power Defect,2026-06-02,VFD Unit,Minor,Automated,121.08,PWF,LINE3-M02
DEF-00121,L00576,Tool Damage,2026-06-02,Spindle Interface,Major,Automated,555.22,TWF,LINE2-M01
DEF-00122,L00577,Tool Damage,2026-06-02,Tool Holder,Major,Ultrasonic,729.99,TWF,LINE2-M02
DEF-00123,L00578,Structural Stress,2026-06-02,Gearbox,Major,Automated,326.22,OSF,LINE3-M01
DEF-00124,L00580,Tool Damage,2026-06-02,Spindle Interface,Major,Automated,493.65,TWF,LINE1-M02
DEF-00125,L00582,Tool Damage,2026-06-02,Tool Tip,Critical,Manual,2238.44,TWF,LINE1-M01
DEF-00126,L00583,Power Defect,2026-06-02,VFD Unit,Critical,Ultrasonic,825.52,PWF,LINE2-M02
DEF-00127,M00596,Power Defect,2026-06-02,Drive Motor,Critical,X-Ray,1647.69,PWF,LINE1-M01
DEF-00128,M00598,Power Defect,2026-06-02,Drive Motor,Major,X-Ray,270.2,PWF,LINE3-M02
DEF-00129,M00603,Power Defect,2026-06-02,VFD Unit,Critical,Automated,1777.74,PWF,LINE1-M02
DEF-00130,H00609,Power Defect,2026-06-02,VFD Unit,Minor,Ultrasonic,157.39,PWF,LINE2-M02
DEF-00131,L00626,Power Defect,2026-06-03,VFD Unit,Major,Manual,754.5,PWF,LINE2-M01
DEF-00132,L00629,Power Defect,2026-06-03,Drive Motor,Critical,Manual,1620.04,PWF,LINE2-M02
DEF-00133,L00636,Random/Unknown,2026-06-03,Control Board,Major,Visual,310.33,RNF,LINE2-M01
DEF-00134,H00639,Power Defect,2026-06-03,Power Supply,Minor,Visual,181.59,PWF,LINE3-M01
DEF-00135,L00648,Tool Damage,2026-06-03,Spindle Interface,Critical,Manual,1025.32,TWF,LINE1-M02
DEF-00136,L00652,Tool Damage,2026-06-03,Tool Holder,Major,Ultrasonic,511.95,TWF,LINE3-M02
DEF-00137,L00655,Tool Damage,2026-06-03,Tool Holder,Major,X-Ray,662.0,TWF,LINE2-M02
DEF-00138,M00656,Tool Damage,2026-06-03,Cutting Edge,Minor,Ultrasonic,69.54,TWF,LINE3-M01
DEF-00139,H00657,Tool Damage,2026-06-03,Tool Holder,Critical,X-Ray,1916.23,TWF,LINE1-M02
DEF-00140,L00658,Tool Damage,2026-06-03,Tool Holder,Minor,Visual,210.64,TWF,LINE3-M01
DEF-00141,L00666,Power Defect,2026-06-03,VFD Unit,Minor,Visual,123.07,PWF,LINE1-M02
DEF-00142,H00676,Power Defect,2026-06-03,Electrical Panel,Critical,Automated,2144.79,PWF,LINE3-M02
DEF-00143,L00678,Power Defect,2026-06-03,Power Supply,Critical,X-Ray,1206.73,PWF,LINE2-M02
DEF-00144,M00686,Power Defect,2026-06-03,Electrical Panel,Critical,Manual,1573.48,PWF,LINE1-M02
DEF-00145,L00691,Power Defect,2026-06-03,Drive Motor,Critical,Ultrasonic,1775.29,PWF,LINE1-M02
DEF-00146,H00696,Power Defect,2026-06-03,Electrical Panel,Major,Manual,267.99,PWF,LINE3-M02
DEF-00147,H00697,Power Defect,2026-06-03,VFD Unit,Critical,Visual,2407.05,PWF,LINE3-M01
DEF-00148,L00699,Power Defect,2026-06-03,Power Supply,Major,Automated,663.75,PWF,LINE3-M01
DEF-00149,L00709,Power Defect,2026-06-03,Power Supply,Critical,Automated,1242.69,PWF,LINE3-M01
DEF-00150,M00721,Power Defect,2026-06-03,Electrical Panel,Major,Manual,359.59,PWF,LINE2-M02
DEF-00151,L00732,Tool Damage,2026-06-03,Spindle Interface,Major,Automated,441.52,TWF,LINE3-M01
DEF-00152,L00733,Tool Damage,2026-06-03,Tool Holder,Minor,Manual,188.85,TWF,LINE3-M02
DEF-00153,L00734,Tool Damage,2026-06-03,Cutting Edge,Major,Visual,273.38,TWF,LINE1-M01
DEF-00154,L00736,Tool Damage,2026-06-03,Spindle Interface,Major,X-Ray,660.41,TWF,LINE1-M01
DEF-00155,M00737,Tool Damage,2026-06-03,Tool Holder,Critical,Automated,2097.51,TWF,LINE2-M01
DEF-00156,L00738,Tool Damage,2026-06-03,Tool Holder,Major,Ultrasonic,633.97,TWF,LINE1-M01
DEF-00157,H00739,Tool Damage,2026-06-03,Tool Tip,Major,Visual,422.85,TWF,LINE1-M02
DEF-00158,M00741,Tool Damage,2026-06-03,Cutting Edge,Major,Ultrasonic,485.38,TWF,LINE2-M02
DEF-00159,L00742,Tool Damage,2026-06-03,Tool Tip,Critical,Ultrasonic,1002.67,TWF,LINE1-M01
DEF-00160,M00743,Tool Damage,2026-06-03,Tool Tip,Minor,Ultrasonic,74.55,TWF,LINE1-M01
DEF-00161,L00744,Tool Damage,2026-06-03,Spindle Interface,Critical,Automated,1623.71,TWF,LINE3-M02
DEF-00162,L00753,Power Defect,2026-06-03,VFD Unit,Major,Ultrasonic,571.18,PWF,LINE2-M01
DEF-00163,M00756,Power Defect,2026-06-03,Electrical Panel,Major,X-Ray,792.17,PWF,LINE2-M02
DEF-00164,H00757,Power Defect,2026-06-03,VFD Unit,Critical,Manual,1377.22,PWF,LINE2-M01
DEF-00165,L00758,Power Defect,2026-06-03,Power Supply,Major,X-Ray,565.44,PWF,LINE1-M02
DEF-00166,H00769,Power Defect,2026-06-03,VFD Unit,Minor,Ultrasonic,154.39,PWF,LINE3-M01
DEF-00167,L00780,Power Defect,2026-06-03,Power Supply,Critical,X-Ray,2013.06,PWF,LINE1-M02
DEF-00168,H00782,Power Defect,2026-06-03,Drive Motor,Minor,Visual,164.08,PWF,LINE1-M01
DEF-00169,L00783,Power Defect,2026-06-03,VFD Unit,Critical,Automated,1850.61,PWF,LINE3-M01
DEF-00170,L00791,Power Defect,2026-06-03,Drive Motor,Major,X-Ray,454.0,PWF,LINE3-M01
DEF-00171,H00794,Power Defect,2026-06-03,Power Supply,Major,Manual,422.16,PWF,LINE3-M02
DEF-00172,L00795,Power Defect,2026-06-03,Electrical Panel,Critical,Ultrasonic,1078.04,PWF,LINE1-M02
DEF-00173,H00800,Power Defect,2026-06-03,VFD Unit,Major,X-Ray,595.6,PWF,LINE1-M02
DEF-00174,H00808,Power Defect,2026-06-03,Electrical Panel,Major,Manual,293.55,PWF,LINE3-M01
DEF-00175,L00810,Thermal Defect,2026-06-03,Motor Housing,Critical,X-Ray,1230.75,HDF,LINE3-M01
DEF-00176,L00813,Power Defect,2026-06-03,Electrical Panel,Critical,Visual,830.46,PWF,LINE1-M01
DEF-00177,L00820,Power Defect,2026-06-03,Electrical Panel,Critical,Automated,1953.74,PWF,LINE3-M02
DEF-00178,L00821,Structural Stress,2026-06-03,Shaft,Major,Ultrasonic,739.03,OSF,LINE3-M01
DEF-00179,M00822,Tool Damage,2026-06-03,Tool Holder,Major,X-Ray,490.96,TWF,LINE3-M02
DEF-00180,M00824,Tool Damage,2026-06-03,Tool Holder,Minor,X-Ray,84.66,TWF,LINE2-M01
DEF-00181,M00825,Tool Damage,2026-06-03,Spindle Interface,Critical,Automated,2297.54,TWF,LINE1-M02
DEF-00182,M00826,Tool Damage,2026-06-03,Spindle Interface,Major,Manual,517.5,TWF,LINE3-M01
DEF-00183,M00829,Tool Damage,2026-06-03,Tool Tip,Minor,Visual,138.3,TWF,LINE3-M01
DEF-00184,M00834,Thermal Defect,2026-06-03,Cooling System,Major,X-Ray,757.39,HDF,LINE1-M02
DEF-00185,L00835,Power Defect,2026-06-03,VFD Unit,Minor,X-Ray,118.83,PWF,LINE3-M02
DEF-00186,L00836,Thermal Defect,2026-06-03,Bearing Assembly,Critical,Automated,1386.93,HDF,LINE1-M02
DEF-00187,H00838,Power Defect,2026-06-03,VFD Unit,Major,Automated,262.88,PWF,LINE2-M01
DEF-00188,L00839,Power Defect,2026-06-03,Drive Motor,Major,Ultrasonic,318.1,PWF,LINE3-M02
DEF-00189,L00840,Power Defect,2026-06-03,Power Supply,Critical,Manual,2320.38,PWF,LINE3-M01
DEF-00190,L00842,Power Defect,2026-06-03,Electrical Panel,Minor,Automated,227.7,PWF,LINE2-M02
DEF-00191,L00843,Power Defect,2026-06-03,Electrical Panel,Major,Ultrasonic,395.03,PWF,LINE1-M02
DEF-00192,L00852,Power Defect,2026-06-03,Drive Motor,Major,X-Ray,639.07,PWF,LINE3-M02
DEF-00193,M00864,Thermal Defect,2026-06-03,Bearing Assembly,Critical,Manual,1226.51,HDF,LINE3-M02
DEF-00194,H00875,Power Defect,2026-06-03,VFD Unit,Critical,Automated,2254.31,PWF,LINE3-M01
DEF-00195,L00878,Power Defect,2026-06-03,Drive Motor,Critical,Automated,1369.0,PWF,LINE3-M01
DEF-00196,H00892,Power Defect,2026-06-03,Drive Motor,Critical,Ultrasonic,1572.31,PWF,LINE3-M02
DEF-00197,M00897,Power Defect,2026-06-03,Electrical Panel,Critical,Visual,1951.67,PWF,LINE1-M01
DEF-00198,L00900,Tool Damage,2026-06-03,Tool Holder,Major,Manual,411.8,TWF,LINE2-M02
DEF-00199,L00903,Power Defect,2026-06-03,Electrical Panel,Critical,X-Ray,1605.39,PWF,LINE3-M02
DEF-00200,M00904,Tool Damage,2026-06-03,Spindle Interface,Major,Manual,564.25,TWF,LINE1-M01
DEF-00201,L00907,Tool Damage,2026-06-03,Cutting Edge,Minor,Manual,108.9,TWF,LINE2-M01
DEF-00202,L00908,Tool Damage,2026-06-03,Spindle Interface,Major,Automated,387.51,TWF,LINE1-M01
DEF-00203,H00909,Tool Damage,2026-06-03,Cutting Edge,Major,Ultrasonic,473.17,TWF,LINE1-M02
DEF-00204,L00910,Tool Damage,2026-06-03,Tool Tip,Critical,Manual,2087.96,TWF,LINE1-M02
DEF-00205,L00911,Tool Damage,2026-06-03,Tool Holder,Critical,Manual,1036.22,TWF,LINE2-M01
DEF-00206,H00912,Power Defect,2026-06-03,VFD Unit,Critical,Manual,1973.88,PWF,LINE2-M02
DEF-00207,H00920,Power Defect,2026-06-03,Power Supply,Minor,X-Ray,170.97,PWF,LINE3-M02
DEF-00208,L00922,Power Defect,2026-06-03,Electrical Panel,Critical,Automated,1534.53,PWF,LINE2-M02
DEF-00209,L00926,Power Defect,2026-06-03,VFD Unit,Critical,Visual,864.22,PWF,LINE1-M01
DEF-00210,M00927,Power Defect,2026-06-03,Electrical Panel,Minor,Manual,137.54,PWF,LINE2-M02
DEF-00211,L00934,Thermal Defect,2026-06-03,Motor Housing,Critical,Automated,980.01,HDF,LINE2-M01
DEF-00212,M00936,Thermal Defect,2026-06-03,Cooling System,Major,Manual,306.0,HDF,LINE2-M01
DEF-00213,L00944,Power Defect,2026-06-03,Power Supply,Critical,Automated,2151.9,PWF,LINE1-M01
DEF-00214,H00948,Power Defect,2026-06-03,Power Supply,Major,X-Ray,577.35,PWF,LINE1-M02
DEF-00215,M00950,Power Defect,2026-06-03,Electrical Panel,Minor,Ultrasonic,124.85,PWF,LINE1-M02
DEF-00216,L00953,Power Defect,2026-06-03,Drive Motor,Critical,Manual,1212.0,PWF,LINE3-M02
DEF-00217,M00955,Thermal Defect,2026-06-03,Heat Exchanger,Critical,X-Ray,1796.47,HDF,LINE3-M01
DEF-00218,L00973,Structural Stress,2026-06-03,Chuck Assembly,Critical,Ultrasonic,1276.61,OSF,LINE1-M02
DEF-00219,M00974,Power Defect,2026-06-03,Drive Motor,Critical,Manual,1779.15,PWF,LINE3-M01
DEF-00220,L00976,Structural Stress,2026-06-03,Frame Mount,Critical,X-Ray,2250.66,OSF,LINE1-M01
DEF-00221,H00980,Tool Damage,2026-06-03,Tool Holder,Critical,Ultrasonic,1872.83,TWF,LINE3-M02
DEF-00222,L00981,Tool Damage,2026-06-03,Cutting Edge,Critical,Automated,2177.71,TWF,LINE3-M02
DEF-00223,M00982,Tool Damage,2026-06-03,Tool Tip,Major,Ultrasonic,794.67,TWF,LINE3-M02
DEF-00224,L00985,Tool Damage,2026-06-03,Tool Holder,Major,Ultrasonic,682.02,TWF,LINE1-M01
DEF-00225,L00986,Tool Damage,2026-06-03,Spindle Interface,Critical,X-Ray,2466.47,TWF,LINE3-M01
DEF-00226,M00987,Tool Damage,2026-06-03,Tool Tip,Minor,Visual,240.91,TWF,LINE1-M02
DEF-00227,H00988,Tool Damage,2026-06-03,Tool Holder,Minor,Visual,178.28,TWF,LINE3-M02
DEF-00228,M00989,Tool Damage,2026-06-03,Tool Holder,Major,Visual,488.51,TWF,LINE3-M02
DEF-00229,L00992,Power Defect,2026-06-03,Drive Motor,Critical,Visual,2247.47,PWF,LINE2-M01
DEF-00230,M01000,Thermal Defect,2026-06-04,Motor Housing,Critical,Manual,1888.3,HDF,LINE1-M01
DEF-00231,H01006,Power Defect,2026-06-04,Electrical Panel,Major,X-Ray,407.75,PWF,LINE3-M02
DEF-00232,L01007,Power Defect,2026-06-04,Drive Motor,Minor,Automated,98.01,PWF,LINE2-M01
DEF-00233,H01008,Power Defect,2026-06-04,Power Supply,Critical,Ultrasonic,2412.27,PWF,LINE1-M01
DEF-00234,L01013,Power Defect,2026-06-04,Drive Motor,Critical,Ultrasonic,2369.2,PWF,LINE2-M02
DEF-00235,L01028,Power Defect,2026-06-04,Power Supply,Critical,Visual,2321.68,PWF,LINE2-M01
DEF-00236,L01050,Power Defect,2026-06-04,Drive Motor,Critical,Visual,2147.08,PWF,LINE3-M01
DEF-00237,L01057,Power Defect,2026-06-04,Drive Motor,Major,Manual,407.85,PWF,LINE2-M01
DEF-00238,L01065,Power Defect,2026-06-04,Power Supply,Critical,Ultrasonic,1034.26,PWF,LINE2-M02
DEF-00239,H01067,Tool Damage,2026-06-04,Tool Holder,Major,Ultrasonic,479.07,TWF,LINE1-M01
DEF-00240,H01068,Thermal Defect,2026-06-04,Heat Exchanger,Minor,Visual,72.25,HDF,LINE3-M02
DEF-00241,L01071,Tool Damage,2026-06-04,Cutting Edge,Critical,Ultrasonic,1750.8,TWF,LINE1-M01
DEF-00242,L01072,Tool Damage,2026-06-04,Cutting Edge,Minor,Manual,71.68,TWF,LINE2-M02
DEF-00243,H01073,Tool Damage,2026-06-04,Spindle Interface,Major,Automated,666.09,TWF,LINE2-M01
